SVI Theme: Overall SVI; Overall SVI (Percentile); NaturalBreaks
Data downloaded on 14-March-2023
Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Overall SVI
2018,01001,Autauga County,Alabama,9.5,0.4354
2018,01003,Baldwin County,Alabama,8.4,0.2162
2018,01005,Barbour County,Alabama,13.5,0.9959
2018,01007,Bibb County,Alabama,10.2,0.6003
2018,01009,Blount County,Alabama,10.5,0.4242
2018,01011,Bullock County,Alabama,9.4,0.8898
2018,01013,Butler County,Alabama,10.9,0.8653
2018,01015,Calhoun County,Alabama,12.9,0.8252
2018,01017,Chambers County,Alabama,12,0.7382
2018,01019,Cherokee County,Alabama,10.5,0.4516
2018,01021,Chilton County,Alabama,14.4,0.7602
2018,01023,Choctaw County,Alabama,11,0.8748
2018,01025,Clarke County,Alabama,14.3,0.8471
2018,01027,Clay County,Alabama,8.6,0.564
2018,01029,Cleburne County,Alabama,8.3,0.5417
2018,01031,Coffee County,Alabama,13.8,0.5408
2018,01033,Colbert County,Alabama,12.3,0.4274
2018,01035,Conecuh County,Alabama,11.2,0.8086
2018,01037,Coosa County,Alabama,9.5,0.5261
2018,01039,Covington County,Alabama,11.9,0.7723
2018,01041,Crenshaw County,Alabama,10.7,0.6873
2018,01043,Cullman County,Alabama,11,0.5182
2018,01045,Dale County,Alabama,11.7,0.7599
2018,01047,Dallas County,Alabama,13.8,0.949
2018,01049,Dekalb County,Alabama,11.1,0.8022
2018,01051,Elmore County,Alabama,12.1,0.5401
2018,01053,Escambia County,Alabama,13.5,0.8557
2018,01055,Etowah County,Alabama,13.8,0.6564
2018,01057,Fayette County,Alabama,9.4,0.7038
2018,01059,Franklin County,Alabama,9.5,0.8417
2018,01061,Geneva County,Alabama,11.1,0.7955
2018,01063,Greene County,Alabama,12.1,0.9854
2018,01065,Hale County,Alabama,10.4,0.9599
2018,01067,Henry County,Alabama,9.8,0.5519
2018,01069,Houston County,Alabama,14.2,0.6838
2018,01071,Jackson County,Alabama,10.5,0.5726
2018,01073,Jefferson County,Alabama,11.2,0.6621
2018,01075,Lamar County,Alabama,11.8,0.6264
2018,01077,Lauderdale County,Alabama,9.8,0.4468
2018,01079,Lawrence County,Alabama,9.1,0.4952
2018,01081,Lee County,Alabama,9.9,0.6602
2018,01083,Limestone County,Alabama,11.3,0.5296
2018,01085,Lowndes County,Alabama,11.8,0.9188
2018,01087,Macon County,Alabama,11.2,0.8971
2018,01089,Madison County,Alabama,10.7,0.3076
2018,01091,Marengo County,Alabama,12.8,0.7621
2018,01093,Marion County,Alabama,9.7,0.671
2018,01095,Marshall County,Alabama,9.8,0.7261
2018,01097,Mobile County,Alabama,11.9,0.7532
2018,01099,Monroe County,Alabama,11.6,0.7481
2018,01101,Montgomery County,Alabama,14.2,0.8427
2018,01103,Morgan County,Alabama,9.4,0.6895
2018,01105,Perry County,Alabama,13.4,0.9949
2018,01107,Pickens County,Alabama,10.9,0.9207
2018,01109,Pike County,Alabama,10.3,0.9016
2018,01111,Randolph County,Alabama,11,0.7191
2018,01113,Russell County,Alabama,10,0.9115
2018,01117,Shelby County,Alabama,8.8,0.1169
2018,01115,St. Clair County,Alabama,10.6,0.3656
2018,01119,Sumter County,Alabama,11.7,0.9557
2018,01121,Talladega County,Alabama,14.1,0.8736
2018,01123,Tallapoosa County,Alabama,10.6,0.8863
2018,01125,Tuscaloosa County,Alabama,11.8,0.6255
2018,01127,Walker County,Alabama,11.2,0.7452
2018,01129,Washington County,Alabama,11.2,0.7303
2018,01131,Wilcox County,Alabama,11.2,0.928
2018,01133,Winston County,Alabama,10.2,0.7025
2018,02013,Aleutians East Borough,Alaska,9.3,0.5803
2018,02016,Aleutians West Census Area,Alaska,7.9,0.4927
2018,02020,Anchorage Municipality,Alaska,8.8,0.4602
2018,02050,Bethel Census Area,Alaska,8,0.9748
2018,02060,Bristol Bay Borough,Alaska,9.1,0.3525
2018,02068,Denali Borough,Alaska,6.8,0.101
2018,02070,Dillingham Census Area,Alaska,8.2,0.8682
2018,02090,Fairbanks North Star Borough,Alaska,7.9,0.3446
2018,02100,Haines Borough,Alaska,7.3,0.207
2018,02105,Hoonah-Angoon Census Area,Alaska,7.3,0.4178
2018,02110,Juneau City and Borough,Alaska,6.3,0.2987
2018,02122,Kenai Peninsula Borough,Alaska,8.2,0.4073
2018,02130,Ketchikan Gateway Borough,Alaska,8.8,0.5548
