Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Age-Adjusted Percentage; U.S. Counties; 2020
Data downloaded on 14-March-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Valdez-Cordova Census Area,Alaska,02261,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Teton County,Wyoming,56039,4.1,2.7,5.7
Gallatin County,Montana,30031,4.3,3.3,5.5
San Juan County,Washington,53055,4.6,3.2,6.5
Douglas County,Colorado,08035,4.8,3.9,5.9
Boulder County,Colorado,08013,4.9,3.9,5.9
Summit County,Colorado,08117,5,3.1,7.7
Summit County,Utah,49043,5.2,3.8,7
Santa Fe County,New Mexico,35049,5.3,4.3,6.3
Eagle County,Colorado,08037,5.4,3.4,7.9
Valley County,Idaho,16085,5.4,3.4,7.9
Flathead County,Montana,30029,5.4,4.3,6.8
Hunterdon County,New Jersey,34019,5.4,3.8,7.5
Addison County,Vermont,50001,5.4,4.3,6.7
Jefferson County,Colorado,08059,5.5,4.5,6.4
Blaine County,Idaho,16013,5.5,3.7,7.9
Missoula County,Montana,30063,5.5,4.4,6.9
Johnson County,Nebraska,31097,5.5,3.7,8.1
Park County,Wyoming,56029,5.5,4.2,7.2
Windham County,Vermont,50025,5.6,4.5,6.8
Nevada County,California,06057,5.7,3.2,8.5
Gray County,Kansas,20069,5.7,3.6,8.7
Park County,Montana,30067,5.7,3.8,7.9
Bowman County,North Dakota,38011,5.7,3.5,8.5
Lawrence County,South Dakota,46081,5.7,4,8.1
Johnson County,Wyoming,56019,5.7,3.9,7.7
Chaffee County,Colorado,08015,5.8,3.7,8.4
Garfield County,Colorado,08045,5.8,3.6,8.3
Pitkin County,Colorado,08097,5.8,3.4,9
Nemaha County,Kansas,20131,5.8,3.8,8.2
Fallon County,Montana,30025,5.8,3.4,8.7
Fergus County,Montana,30027,5.8,3.8,8.1
Keith County,Nebraska,31101,5.8,4,7.9
Wasatch County,Utah,49051,5.8,4.3,7.5
Chittenden County,Vermont,50007,5.8,4.9,6.8
Marinette County,Wisconsin,55075,5.8,3.7,8.8
La Plata County,Colorado,08067,5.9,4.1,8.1
Larimer County,Colorado,08069,5.9,4.8,7
Litchfield County,Connecticut,09005,5.9,4.8,7.3
Union County,Georgia,13291,5.9,3.6,8.9
Winneshiek County,Iowa,19191,5.9,3.9,8.5
Clark County,Kansas,20025,5.9,3.6,9
Cedar County,Nebraska,31027,5.9,4.2,7.8
Deuel County,South Dakota,46039,5.9,3.8,8.8
Sublette County,Wyoming,56035,5.9,4,8.5
Madison County,Montana,30057,6,3.8,8.5
Sioux County,Nebraska,31165,6,3.4,9.5
Lincoln County,New Mexico,35027,6,4.1,8.1
Hood River County,Oregon,41027,6,3.7,9.7
Faulk County,South Dakota,46049,6,3.6,9.2
Marshall County,South Dakota,46091,6,3.7,9.3
Morgan County,Utah,49029,6,3.8,8.6
Grant County,Wisconsin,55043,6,3.7,9
Green County,Wisconsin,55045,6,3.8,9.3
Vernon County,Wisconsin,55123,6,3.8,9.2
Clear Creek County,Colorado,08019,6.1,3.5,9
Park County,Colorado,08093,6.1,3.5,9.2
Fairfield County,Connecticut,09001,6.1,5.4,6.8
Barnstable County,Massachusetts,25001,6.1,4.7,7.6
Judith Basin County,Montana,30045,6.1,3.7,9.2
Los Alamos County,New Mexico,35028,6.1,4.1,8.4
Putnam County,New York,36079,6.1,4.1,8.6
Bayfield County,Wisconsin,55007,6.1,4.1,8.9
Dane County,Wisconsin,55025,6.1,4.6,7.7
Washburn County,Wisconsin,55129,6.1,3.4,9.8
Yavapai County,Arizona,04025,6.2,5.2,7.5
Teton County,Idaho,16081,6.2,3.8,9.1
Dallas County,Iowa,19049,6.2,4.4,8.2
Pipestone County,Minnesota,27117,6.2,3.7,9.4
Teton County,Montana,30099,6.2,4,8.9
Clay County,Nebraska,31035,6.2,4.1,8.5
Morris County,New Jersey,34027,6.2,4.8,7.7
Kidder County,North Dakota,38043,6.2,3.9,9.7
Tillamook County,Oregon,41057,6.2,4,8.9
Mercer County,Pennsylvania,42085,6.2,4,8.8
Fairfax County,Virginia,51059,6.2,5.1,7.3
Ozaukee County,Wisconsin,55089,6.2,3.6,9.4
Placer County,California,06061,6.3,4.2,8.8
Kit Carson County,Colorado,08063,6.3,3.6,9.4
Ouray County,Colorado,08091,6.3,3.8,9.9
Rio Blanco County,Colorado,08103,6.3,3.8,9.9
Collier County,Florida,12021,6.3,4.7,8.3
Sarasota County,Florida,12115,6.3,5,8
Boise County,Idaho,16015,6.3,4.1,9.6
Ida County,Iowa,19093,6.3,3.9,9.6
Greeley County,Kansas,20071,6.3,3.6,9.3
Scott County,Kentucky,21209,6.3,4,9.4
Hampshire County,Massachusetts,25015,6.3,4.7,8.2
Midland County,Michigan,26111,6.3,4,9.1
Big Stone County,Minnesota,27011,6.3,3.9,9.5
Douglas County,Minnesota,27041,6.3,4.5,8.5
Kandiyohi County,Minnesota,27067,6.3,4.4,8.3
Granite County,Montana,30039,6.3,3.9,9.7
Deuel County,Nebraska,31049,6.3,3.7,9.6
Washoe County,Nevada,32031,6.3,5.2,7.4
Butte County,South Dakota,46019,6.3,4,9.6
Rich County,Utah,49033,6.3,3.6,10.1
Clarke County,Virginia,51043,6.3,3.7,9.3
Albany County,Wyoming,56001,6.3,4.7,8
Broomfield County,Colorado,08014,6.4,4.1,8.9
Cedar County,Iowa,19031,6.4,4.1,9.2
Jefferson County,Iowa,19101,6.4,4.2,9.1
Anderson County,Kansas,20003,6.4,3.8,9.4
Sherman County,Kansas,20181,6.4,4,9.8
Middlesex County,Massachusetts,25017,6.4,5.7,7.2
Charlevoix County,Michigan,26029,6.4,3.7,9.7
Grant County,Minnesota,27051,6.4,3.6,9.9
Murray County,Minnesota,27101,6.4,3.8,10
Otter Tail County,Minnesota,27111,6.4,4.7,8.3
Carter County,Montana,30011,6.4,3.9,9.9
Dawes County,Nebraska,31045,6.4,4.3,9.1
Dare County,North Carolina,37055,6.4,4,9.4
Renville County,North Dakota,38075,6.4,3.8,10
Hutchinson County,South Dakota,46067,6.4,3.8,10.1
Mcpherson County,South Dakota,46089,6.4,3.7,9.8
Live Oak County,Texas,48297,6.4,3.7,9.8
Beaver County,Utah,49001,6.4,3.8,10.2
Loudoun County,Virginia,51107,6.4,5,8.1
Taylor County,Wisconsin,55119,6.4,4.1,9.4
Denali Borough,Alaska,02068,6.5,3.9,9.8
Calaveras County,California,06009,6.5,3.8,10.1
Archuleta County,Colorado,08007,6.5,3.9,9.4
Routt County,Colorado,08107,6.5,3.9,9.9
Madison County,Idaho,16065,6.5,4.5,8.8
Decatur County,Iowa,19053,6.5,4,9.7
Plymouth County,Iowa,19149,6.5,4.2,9.2
Grant County,Kansas,20067,6.5,3.9,10
Hancock County,Maine,23009,6.5,5.5,7.6
Watonwan County,Minnesota,27165,6.5,4,9.9
Madison County,Missouri,29123,6.5,3.7,10.1
Mccone County,Montana,30055,6.5,3.8,9.7
Mineral County,Montana,30061,6.5,3.7,10
Sweet Grass County,Montana,30097,6.5,4.1,9.7
New York County,New York,36061,6.5,5.6,7.4
Henderson County,North Carolina,37089,6.5,4.3,9
Oliver County,North Dakota,38065,6.5,3.9,10.1
Stutsman County,North Dakota,38093,6.5,4.6,8.6
Campbell County,South Dakota,46021,6.5,3.7,10.4
Day County,South Dakota,46037,6.5,4.2,10.1
Bandera County,Texas,48019,6.5,3.8,9.8
Grand County,Utah,49019,6.5,4.4,9.4
Washington County,Vermont,50023,6.5,5.4,7.6
Floyd County,Virginia,51063,6.5,4,9.7
Eau Claire County,Wisconsin,55035,6.5,4.4,9
Fond Du Lac County,Wisconsin,55039,6.5,4.4,9.3
Jefferson County,Wisconsin,55055,6.5,4.1,9.6
Juneau County,Wisconsin,55057,6.5,4,9.8
Crook County,Wyoming,56011,6.5,4.4,8.9
Platte County,Wyoming,56031,6.5,4.4,9.1
Sonoma County,California,06097,6.6,4.7,9.1
Delta County,Colorado,08029,6.6,4.5,9.1
Gunnison County,Colorado,08051,6.6,4.2,9.8
