Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Age-Adjusted Percentage; U.S. Counties; 2016
Data downloaded on 14-March-2023
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Teton County,Wyoming,56039,3.8,2.6,5.1
Summit County,Utah,49043,4.1,3.1,5.2
Boulder County,Colorado,08013,4.4,3.6,5.3
Eagle County,Colorado,08037,4.4,3,6.1
Douglas County,Colorado,08035,4.7,3.9,5.6
Routt County,Colorado,08107,4.9,3.3,6.8
Pitkin County,Colorado,08097,5,3.1,7.2
Arlington County,Virginia,51013,5,3.7,6.6
La Plata County,Colorado,08067,5.1,3.8,6.6
Larimer County,Colorado,08069,5.1,4.2,6
Santa Fe County,New Mexico,35049,5.1,4.2,6
Ravalli County,Montana,30081,5.3,3.8,7.3
Albemarle County,Virginia,51003,5.3,3.7,7.1
San Juan County,Washington,53055,5.3,3.8,7.2
Archuleta County,Colorado,08007,5.4,3.5,7.9
Jefferson County,Colorado,08059,5.4,4.7,6.1
Blaine County,Idaho,16013,5.4,3.7,7.2
Gallatin County,Montana,30031,5.4,4.2,6.7
Garfield County,Colorado,08045,5.5,4,7.6
Summit County,Colorado,08117,5.5,3.6,7.9
Knox County,Maine,23013,5.5,4.4,6.6
Los Alamos County,New Mexico,35028,5.5,3.9,7.7
Gunnison County,Colorado,08051,5.6,3.7,7.8
Sioux County,Nebraska,31165,5.6,3.5,8.1
Wasatch County,Utah,49051,5.6,4.4,6.9
Chittenden County,Vermont,50007,5.6,4.8,6.5
Denver County,Colorado,08031,5.7,4.9,6.5
Monroe County,Florida,12087,5.7,4.5,7
Hunterdon County,New Jersey,34019,5.7,4.5,7
Mcintosh County,North Dakota,38051,5.7,3.7,8.4
Jefferson County,Wisconsin,55055,5.7,4,7.8
Elbert County,Colorado,08039,5.8,4.3,7.6
Grand County,Colorado,08049,5.8,3.9,8.4
Park County,Colorado,08093,5.8,3.8,8.2
Republic County,Kansas,20157,5.8,3.9,8.3
Thomas County,Kansas,20193,5.8,3.8,8.8
Pawnee County,Nebraska,31133,5.8,3.8,8.5
Mchenry County,North Dakota,38049,5.8,3.8,7.9
Lamoille County,Vermont,50015,5.8,4.6,7.1
Crook County,Wyoming,56011,5.8,4.1,7.6
Marin County,California,06041,5.9,4.1,8
Chaffee County,Colorado,08015,5.9,4.3,7.9
Custer County,Colorado,08027,5.9,3.8,8.4
Middlesex County,Connecticut,09007,5.9,4.8,7.2
Johnson County,Iowa,19103,5.9,4.3,7.6
Marion County,Kansas,20115,5.9,4,8.2
Rock County,Minnesota,27133,5.9,3.8,8.6
Cherry County,Nebraska,31031,5.9,4.3,7.5
Wells County,North Dakota,38103,5.9,3.6,8.4
Comal County,Texas,48091,5.9,3.9,8.1
Chelan County,Washington,53007,5.9,4.3,7.9
Johnson County,Wyoming,56019,5.9,4.3,8.1
Sarasota County,Florida,12115,6,4.9,7.2
Guthrie County,Iowa,19077,6,3.8,9.1
Carbon County,Montana,30009,6,4,8.3
Toole County,Montana,30101,6,3.9,8.5
Garfield County,Nebraska,31071,6,3.7,8.6
Morris County,New Jersey,34027,6,4.9,7.1
Columbia County,New York,36021,6,4.8,7.5
Sheridan County,North Dakota,38083,6,3.7,9.3
Hand County,South Dakota,46059,6,3.7,9.4
Kendall County,Texas,48259,6,3.9,8.6
Portage County,Wisconsin,55097,6,4,8.6
Niobrara County,Wyoming,56027,6,3.6,8.8
Park County,Wyoming,56029,6,4.7,7.5
Collier County,Florida,12021,6.1,4.9,7.4
Clayton County,Iowa,19043,6.1,4.2,8.5
Mitchell County,Kansas,20123,6.1,4.2,8.5
Madison County,Montana,30057,6.1,4.3,8.6
Teton County,Montana,30099,6.1,4,8.5
Putnam County,New York,36079,6.1,4.7,7.6
Bowman County,North Dakota,38011,6.1,4,8.7
Loudoun County,Virginia,51107,6.1,4.7,7.7
Nelson County,Virginia,51125,6.1,3.8,9
Dane County,Wisconsin,55025,6.1,4.6,7.6
El Dorado County,California,06017,6.2,4.3,8.7
Nevada County,California,06057,6.2,4.1,8.9
St. Johns County,Florida,12109,6.2,5,7.4
Howard County,Iowa,19089,6.2,4,9
Hancock County,Maine,23009,6.2,5.1,7.5
Barnstable County,Massachusetts,25001,6.2,4.9,7.7
Clay County,Minnesota,27027,6.2,4.5,8.1
Flathead County,Montana,30029,6.2,4.9,7.9
Meagher County,Montana,30059,6.2,4,8.8
Franklin County,Nebraska,31061,6.2,3.9,8.9
Bergen County,New Jersey,34003,6.2,5,7.6
Tompkins County,New York,36109,6.2,4.8,7.7
Lamoure County,North Dakota,38045,6.2,4.1,8.6
Logan County,North Dakota,38047,6.2,3.7,9.1
Newport County,Rhode Island,44005,6.2,5.2,7.3
Davison County,South Dakota,46035,6.2,4.1,8.8
Turner County,South Dakota,46125,6.2,4.1,8.6
Fairfax County,Virginia,51059,6.2,5,7.5
Island County,Washington,53029,6.2,4.5,7.9
Placer County,California,06061,6.3,4.5,8.4
Sonoma County,California,06097,6.3,4.6,8.1
San Miguel County,Colorado,08113,6.3,4.1,8.9
Custer County,Idaho,16037,6.3,4.1,9.2
Ellis County,Kansas,20051,6.3,4.5,8.2
Riley County,Kansas,20161,6.3,4.8,7.8
Carver County,Minnesota,27019,6.3,4.6,8.4
Wabasha County,Minnesota,27157,6.3,4.3,8.7
Knox County,Nebraska,31107,6.3,4.8,7.8
Thomas County,Nebraska,31171,6.3,3.8,9.4
Grafton County,New Hampshire,33009,6.3,5.2,7.6
Ulster County,New York,36111,6.3,5,7.8
Westchester County,New York,36119,6.3,5.3,7.4
Washington County,Vermont,50023,6.3,5.3,7.5
Washington County,Wisconsin,55131,6.3,4.7,8.5
Idaho County,Idaho,16049,6.4,4.6,8.3
Latah County,Idaho,16057,6.4,4.9,8.5
Teton County,Idaho,16081,6.4,4.1,9.1
Valley County,Idaho,16085,6.4,4.4,9.1
Story County,Iowa,19169,6.4,4.8,8.3
Washington County,Kansas,20201,6.4,4.3,9
Franklin County,Maine,23007,6.4,5.3,7.8
Lincoln County,Maine,23015,6.4,5.2,7.7
Livingston County,Michigan,26093,6.4,4.9,8.2
Hennepin County,Minnesota,27053,6.4,5.8,6.9
Cedar County,Nebraska,31027,6.4,4.9,8.1
Cheyenne County,Nebraska,31033,6.4,4.4,8.5
Dundy County,Nebraska,31057,6.4,4.2,9.3
Gosper County,Nebraska,31073,6.4,4.1,9.8
Red Willow County,Nebraska,31145,6.4,4.8,8.5
Sussex County,New Jersey,34037,6.4,5.2,7.5
Orange County,North Carolina,37135,6.4,4.5,9
Barnes County,North Dakota,38003,6.4,4.6,9
Cavalier County,North Dakota,38019,6.4,4.2,9.1
Centre County,Pennsylvania,42027,6.4,4.7,8.2
Brookings County,South Dakota,46011,6.4,5.3,7.7
Yankton County,South Dakota,46135,6.4,4.4,9.2
Eastland County,Texas,48133,6.4,4,9.6
Morgan County,Utah,49029,6.4,4.2,9.3
Door County,Wisconsin,55029,6.4,4.3,9.1
Price County,Wisconsin,55099,6.4,4.4,8.6
Arapahoe County,Colorado,08005,6.5,5.8,7.3
Broomfield County,Colorado,08014,6.5,4.8,8.8
Montrose County,Colorado,08085,6.5,4.8,8.5
Martin County,Florida,12085,6.5,5.3,8.1
Oconee County,Georgia,13219,6.5,4,9.3
Bonner County,Idaho,16017,6.5,4.9,8.5
Carroll County,Iowa,19027,6.5,4.3,9
Taylor County,Iowa,19173,6.5,4.1,9.6
Douglas County,Kansas,20045,6.5,5.5,7.7
Rice County,Minnesota,27131,6.5,4.7,8.3
Waseca County,Minnesota,27161,6.5,4.2,8.9
Hamilton County,Nebraska,31081,6.5,4.8,8.5
Delaware County,New York,36025,6.5,5,8.2
Billings County,North Dakota,38007,6.5,3.9,9.9
Burke County,North Dakota,38013,6.5,4.2,9.6
Benton County,Oregon,41003,6.5,4.6,8.4
Deschutes County,Oregon,41017,6.5,5.1,8.3
Sherman County,Oregon,41055,6.5,3.8,10
Clay County,South Dakota,46027,6.5,4.2,9.7
Jerauld County,South Dakota,46073,6.5,3.9,10.2
